"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPE ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v",
15,0,0,"0F","00",,"/0",0,,,FALSE,,,"sldt",1,"r/m 16",,,,,,"GP,SS,PF,AC","UD","UD",
15,0,0,"0F","00",,"/1",0,,,FALSE,,,"str",1,"r/m 16",,,,,,"GP,SS,PF,AC","UD","UD",
15,0,0,"0F","00",,"/2",0,,,FALSE,,,"lldt",1,"r/m 16",,,,,,"GP,SS,NP,PF","UD","UD",
15,0,0,"0F","00",,"/3",0,,,FALSE,,,"ltr",1,"r/m 16",,,,,,"GP,SS,NP,PF","UD","UD",
15,0,0,"0F","00",,"/4",0,,,FALSE,,,"verr",1,"r/m 16",,,"ZF",,,"GP,SS,PF,AC","UD","UD",
15,0,0,"0F","00",,"/5",0,,,FALSE,,,"verw",1,"r/m 16",,,"ZF",,,"GP,SS,PF,AC","UD","UD",
15,1,0,"0F","01",,"/0",0,,,FALSE,,,"sgdt",1,"m 48",,,,,,"GP,SS,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD","286-"
15,1,0,"0F","01",,"/1",0,,,TRUE,,,"sidt",1,"m 48",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC","286-"
15,1,0,"0F","01",,"/2",0,,,TRUE,,,"lgdt",1,"m 48",,,,,,"GP,SS,PF,UD","GP,SS,UD","GP",
15,1,0,"0F","01",,"/3",0,,,TRUE,,,"lidt",1,"m 48",,,,,,"GP,SS,PF,UD","GP,SS,UD","GP",
15,1,0,"0F","01",,"/4",0,,,FALSE,,,"smsw",1,"r/m 16",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC","286-"
15,1,0,"0F","01",,"/6",0,,,FALSE,,,"lmsw",1,"r/m 16",,,,,,"GP,SS,PF","GP","GP,SS,PF",
15,1,0,"0F","01",,"/7",0,,,FALSE,,,"invlpg",1,"m 0",,,,,,"GP,UD","UD","GP","486-"
15,1,200,"0F","01","C8",,0,,,FALSE,,,"monitor",0,,,,,,,"GP,SS,PF,UD","GP,UD","GP,PF,UD",
15,1,201,"0F","01","C9",,0,,,FALSE,,,"mwait",0,,,,,,,"GP,UD","GP,UD","GP,UD",
15,2,0,"0F","02",,"/r",0,,,TRUE,,,"lar",2,"r 16/32","r/m 16/32",,"ZF",,,"GP,SS,PF,AC","UD","UD",
15,3,0,"0F","03",,"/r",0,,,TRUE,,,"lsl",2,"r 16/32","r/m 16/32",,"ZF",,,"GP,SS,PF,AC","UD","UD",
15,6,0,"0F","06",,,0,,,FALSE,,,"clts",0,,,,"TS",,,"GP",,"GP",
15,8,0,"0F","08",,,0,,,FALSE,,,"invd",0,,,,,,,"GP",,"GP","486-"
15,9,0,"0F","09",,,0,,,FALSE,,,"wbinvd",0,,,,,,,"GP",,"GP","486-"
15,11,0,"0F","0B",,,0,,,FALSE,,,"ud2",0,,,,,,,"UD","UD","UD",
15,24,0,"0F",18,,"/0",0,,,FALSE,,,"prefetchnta",1,"m 8",,,,,,,,,
15,24,0,"0F",18,,"/1",0,,,FALSE,,,"prefetch0",1,"m 8",,,,,,,,,
15,24,0,"0F",18,,"/2",0,,,FALSE,,,"prefetch1",1,"m 8",,,,,,,,,
15,24,0,"0F",18,,"/3",0,,,FALSE,,,"prefetch2",1,"m 8",,,,,,,,,
15,32,192,"0F",20,"C0",,0,,,FALSE,,,"mov",2,"eax","cr0",,,,,"GP","GP","GP",
15,32,193,"0F",20,"C1",,0,,,FALSE,,,"mov",2,"ecx","cr0",,,,,"GP","GP","GP",
15,32,194,"0F",20,"C2",,0,,,FALSE,,,"mov",2,"edx","cr0",,,,,"GP","GP","GP",
15,32,195,"0F",20,"C3",,0,,,FALSE,,,"mov",2,"ebx","cr0",,,,,"GP","GP","GP",
15,32,196,"0F",20,"C4",,0,,,FALSE,,,"mov",2,"esp","cr0",,,,,"GP","GP","GP",
15,32,197,"0F",20,"C5",,0,,,FALSE,,,"mov",2,"ebp","cr0",,,,,"GP","GP","GP",
15,32,198,"0F",20,"C6",,0,,,FALSE,,,"mov",2,"esi","cr0",,,,,"GP","GP","GP",
15,32,199,"0F",20,"C7",,0,,,FALSE,,,"mov",2,"edi","cr0",,,,,"GP","GP","GP",
15,32,200,"0F",20,"C8",,0,,,FALSE,,,"mov",2,"eax","cr1",,,,,"GP","GP","GP",
15,32,201,"0F",20,"C9",,0,,,FALSE,,,"mov",2,"ecx","cr1",,,,,"GP","GP","GP",
15,32,202,"0F",20,"CA",,0,,,FALSE,,,"mov",2,"edx","cr1",,,,,"GP","GP","GP",
15,32,203,"0F",20,"CB",,0,,,FALSE,,,"mov",2,"ebx","cr1",,,,,"GP","GP","GP",
15,32,204,"0F",20,"CC",,0,,,FALSE,,,"mov",2,"esp","cr1",,,,,"GP","GP","GP",
15,32,205,"0F",20,"CD",,0,,,FALSE,,,"mov",2,"ebp","cr1",,,,,"GP","GP","GP",
