"dec1","dec2","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPE ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v",
216,0,"D8",,,"/0",0,,,FALSE,,,"fadd",1,"m 32",,,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,0,"D8",,,"/1",0,,,FALSE,,,"fmul",1,"m 32",,,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,0,"D8",,,"/2",0,,,FALSE,,,"fcom",1,"m 32",,,,"C0,C1,C2,C3","IS,IA,D","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,0,"D8",,,"/3",0,,,FALSE,,,"fcomp",1,"m 32",,,,"C0,C1,C2,C3","IS,IA,D","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,0,"D8",,,"/4",0,,,FALSE,,,"fsub",1,"m 32",,,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,0,"D8",,,"/5",0,,,FALSE,,,"fsubr",1,"m 32",,,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,0,"D8",,,"/6",0,,,FALSE,,,"fdiv",1,"m 32",,,,"C1","IS,IA,D,Z,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,0,"D8",,,"/7",0,,,FALSE,,,"fdivr",1,"m 32",,,,"C1","IS,IA,D,Z,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,192,"D8","C0",,,0,,,FALSE,,,"fadd",2,"st(0)","st(0)",,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,193,"D8","C1",,,0,,,FALSE,,,"fadd",2,"st(0)","st(1)",,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,194,"D8","C2",,,0,,,FALSE,,,"fadd",2,"st(0)","st(2)",,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,195,"D8","C3",,,0,,,FALSE,,,"fadd",2,"st(0)","st(3)",,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,196,"D8","C4",,,0,,,FALSE,,,"fadd",2,"st(0)","st(4)",,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,197,"D8","C5",,,0,,,FALSE,,,"fadd",2,"st(0)","st(5)",,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
216,198,"D8","C6",,,0,,,FALSE,,,"fadd",2,"st(0)","st(6)",,,"C1","IS,IA,D,U,O,P","GP,SS,NM,PF,AC","GP,SS,NM","GP,SS,NM,PF,AC",
