"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPNZ ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v"
0,0,0,"00",,,"/r",0,,,FALSE,,,"add",2,"r/m 8","r 8",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
1,0,0,"01",,,"/r",0,,,TRUE,,,"add",2,"r/m 16/32","r 16/32",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
2,0,0,"02",,,"/r",0,,,FALSE,,,"add",2,"r 8","r/m 8",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
3,0,0,"03",,,"/r",0,,,TRUE,,,"add",2,"r 16/32","r/m 16/32",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
4,0,0,"04",,,,1,"imm 8",,FALSE,,,"add",2,"al","imm 8",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
5,0,0,"05",,,,1,"imm 16/32",,TRUE,,,"add",2,"ax/eax","imm 16/32",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
6,0,0,"06",,,,0,,,TRUE,,,"push",1,"es",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
7,0,0,"07",,,,0,,,TRUE,,,"pop",1,"es",,,,,,"GP,SS,NP,PF,AC","GP","GP,PF,AC"
8,0,0,"08",,,"/r",0,,,FALSE,,,"or",2,"r/m 8","r 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
9,0,0,"09",,,"/r",0,,,TRUE,,,"or",2,"r/m 16/32","r 16/32",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
10,0,0,"0A",,,"/r",0,,,FALSE,,,"or",2,"r 8","r/m 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
11,0,0,"0B",,,"/r",0,,,TRUE,,,"or",2,"r 16/32","r/m 16/32",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
12,0,0,"0C",,,,1,"imm 8",,FALSE,,,"or",2,"al","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
13,0,0,"0D",,,,1,"imm 16/32",,TRUE,,,"or",2,"ax/eax","imm 16/32",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
14,0,0,"0E",,,,0,,,TRUE,,,"push",1,"cs",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
16,0,0,10,,,"/r",0,,,FALSE,,,"adc",2,"r/m 8","r 8",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
17,0,0,11,,,"/r",0,,,TRUE,,,"adc",2,"r/m 16/32","r 16/32",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
18,0,0,12,,,"/r",0,,,FALSE,,,"adc",2,"r 8","r/m 8",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
19,0,0,13,,,"/r",0,,,TRUE,,,"adc",2,"r 16/32","r/m 16/32",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
20,0,0,14,,,,1,"imm 8",,FALSE,,,"adc",2,"al","imm 8",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
21,0,0,15,,,,1,"imm 16/32",,TRUE,,,"adc",2,"ax/eax","imm 16/32",,"OF,SF,ZF,AF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
22,0,0,16,,,,0,,,TRUE,,,"push",1,"ss",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
23,0,0,17,,,,0,,,TRUE,,,"pop",1,"ss",,,,,,"GP,SS,NP,PF,AC","GP","GP,PF,AC"
24,0,0,18,,,"/r",0,,,FALSE,,,"sbb",2,"r/m 8","r 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
25,0,0,19,,,"/r",0,,,TRUE,,,"sbb",2,"r/m 16/32","r 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
26,0,0,"1A",,,"/r",0,,,FALSE,,,"sbb",2,"r 8","r/m 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
27,0,0,"1B",,,"/r",0,,,TRUE,,,"sbb",2,"r 16/32","r/m 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
28,0,0,"1C",,,,1,"imm 8",,FALSE,,,"sbb",2,"al","imm 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
29,0,0,"1D",,,,1,"imm 16/32",,TRUE,,,"sbb",2,"ax/eax","imm 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
30,0,0,"1E",,,,0,,,TRUE,,,"push",1,"ds",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
31,0,0,"1F",,,,0,,,TRUE,,,"pop",1,"ds",,,,,,"GP,SS,NP,PF,AC","GP","GP,PF,AC"
32,0,0,20,,,"/r",0,,,FALSE,,,"and",2,"r/m 8","r 8",,"OF,SF,ZF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
33,0,0,21,,,"/r",0,,,TRUE,,,"and",2,"r/m 16/32","r 16/32",,"OF,SF,ZF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
34,0,0,22,,,"/r",0,,,FALSE,,,"and",2,"r 8","r/m 8",,"OF,SF,ZF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
35,0,0,23,,,"/r",0,,,TRUE,,,"and",2,"r 16/32","r/m 16/32",,"OF,SF,ZF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
36,0,0,24,,,,1,"imm 8",,FALSE,,,"and",2,"al","imm 8",,"OF,SF,ZF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
37,0,0,25,,,,1,"imm 16/32",,TRUE,,,"and",2,"ax/eax","imm 16/32",,"OF,SF,ZF,CF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
39,0,0,27,,,,0,,,FALSE,,,"daa",0,,,,"CF,AF,SF,ZF,PF",,,,,
40,0,0,28,,,"/r",0,,,FALSE,,,"sub",2,"r/m 8","r 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
41,0,0,29,,,"/r",0,,,TRUE,,,"sub",2,"r/m 16/32","r 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
42,0,0,"2A",,,"/r",0,,,FALSE,,,"sub",2,"r 8","r/m 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
43,0,0,"2B",,,"/r",0,,,TRUE,,,"sub",2,"r 16/32","r/m 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
44,0,0,"2C",,,,1,"imm 8",,FALSE,,,"sub",2,"al","imm 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
45,0,0,"2D",,,,1,"imm 16/32",,TRUE,,,"sub",2,"ax/eax","imm 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
47,0,0,"2F",,,,0,,,FALSE,,,"das",0,,,,"CF,AF,SF,ZF,PF",,,,,
48,0,0,30,,,"/r",0,,,FALSE,,,"xor",2,"r/m 8","r 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
49,0,0,31,,,"/r",0,,,TRUE,,,"xor",2,"r/m 16/32","r 16/32",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
50,0,0,32,,,"/r",0,,,FALSE,,,"xor",2,"r 8","r/m 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
51,0,0,33,,,"/r",0,,,TRUE,,,"xor",2,"r 16/32","r/m 16/32",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
52,0,0,34,,,,1,"imm 8",,FALSE,,,"xor",2,"al","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
53,0,0,35,,,,1,"imm 16/32",,TRUE,,,"xor",2,"ax/eax","imm 16/32",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
55,0,0,37,,,,0,,,FALSE,,,"aaa",0,,,,"AF,CF",,,,,
56,0,0,38,,,"/r",0,,,FALSE,,,"cmp",2,"r/m 8","r 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
57,0,0,39,,,"/r",0,,,TRUE,,,"cmp",2,"r/m 16/32","r 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
58,0,0,"3A",,,"/r",0,,,FALSE,,,"cmp",2,"r 8","r/m 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
59,0,0,"3B",,,"/r",0,,,TRUE,,,"cmp",2,"r 16/32","r/m 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
60,0,0,"3C",,,,1,"imm 8",,FALSE,,,"cmp",2,"al","imm 8",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
61,0,0,"3D",,,,1,"imm 16/32",,TRUE,,,"cmp",2,"ax/eax","imm 16/32",,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
63,0,0,"3F",,,,0,,,FALSE,,,"aas",0,,,,"AF,CF",,,,,
64,0,0,40,,,,0,,,TRUE,,,"inc",1,"ax/eax",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
65,0,0,41,,,,0,,,TRUE,,,"inc",1,"cx/ecx",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
66,0,0,42,,,,0,,,TRUE,,,"inc",1,"dx/edx",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
67,0,0,43,,,,0,,,TRUE,,,"inc",1,"bx/ebx",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
68,0,0,44,,,,0,,,TRUE,,,"inc",1,"sp/esp",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
69,0,0,45,,,,0,,,TRUE,,,"inc",1,"bp/ebp",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
70,0,0,46,,,,0,,,TRUE,,,"inc",1,"si/esi",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
71,0,0,47,,,,0,,,TRUE,,,"inc",1,"di/edi",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
72,0,0,48,,,,0,,,TRUE,,,"dec",1,"ax/eax",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
73,0,0,49,,,,0,,,TRUE,,,"dec",1,"cx/ecx",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
74,0,0,"4A",,,,0,,,TRUE,,,"dec",1,"dx/edx",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
75,0,0,"4B",,,,0,,,TRUE,,,"dec",1,"bx/ebx",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
76,0,0,"4C",,,,0,,,TRUE,,,"dec",1,"sp/esp",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
77,0,0,"4D",,,,0,,,TRUE,,,"dec",1,"bp/ebp",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
78,0,0,"4E",,,,0,,,TRUE,,,"dec",1,"si/esi",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
79,0,0,"4F",,,,0,,,TRUE,,,"dec",1,"di/edi",,,"OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
80,0,0,50,,,,0,,,TRUE,,,"push",1,"ax/eax",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
81,0,0,51,,,,0,,,TRUE,,,"push",1,"cx/ecx",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
82,0,0,52,,,,0,,,TRUE,,,"push",1,"dx/edx",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
83,0,0,53,,,,0,,,TRUE,,,"push",1,"bx/ebx",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
84,0,0,54,,,,0,,,TRUE,,,"push",1,"sp/esp",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
85,0,0,55,,,,0,,,TRUE,,,"push",1,"bp/ebp",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
86,0,0,56,,,,0,,,TRUE,,,"push",1,"si/esi",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
87,0,0,57,,,,0,,,TRUE,,,"push",1,"di/edi",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
