"dec1","dec2","dec3","hex1","hex2","hex3","hex4","modrm","#operands","operand1","operand2","66H ?","REP ?","REPE ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v"
0,15,16,,"0F",10,,"/r",0,,,FALSE,,,"movups",2,"xmm","xmm/m128",,,,,,,
102,15,16,66,"0F",10,,"/r",0,,,FALSE,,,"movupd",2,"xmm","xmm/m128",,,,,,,
242,15,16,"F2","0F",10,,"/r",0,,,FALSE,,,"movsd",2,"xmm","xmm/m64",,,,,,,
243,15,16,"F3","0F",10,,"/r",0,,,FALSE,,,"movss",2,"xmm","xmm/m32",,,,,,,
0,15,17,,"0F",11,,"/r",0,,,FALSE,,,"movups",2,"xmm/m128","xmm",,,,,,,
102,15,17,66,"0F",11,,"/r",0,,,FALSE,,,"movupd",2,"xmm/m128","xmm",,,,,,,
242,15,17,"F2","0F",11,,"/r",0,,,FALSE,,,"movsd",2,"xmm/m64","xmm",,,,,,,
243,15,17,"F3","0F",11,,"/r",0,,,FALSE,,,"movss",2,"xmm/m32","xmm",,,,,,,
0,15,18,,"0F",12,,"/r",0,,,FALSE,,,"movlps",2,"xmm","m64",,,,,,,
0,15,18,,"0F",12,"C0",,0,,,FALSE,,,"movhlps",2,"xmm0","xmm0",,,,,,,
0,15,18,,"0F",12,"C1",,0,,,FALSE,,,"movhlps",2,"xmm0","xmm1",,,,,,,
0,15,18,,"0F",12,"C2",,0,,,FALSE,,,"movhlps",2,"xmm0","xmm2",,,,,,,
0,15,18,,"0F",12,"C3",,0,,,FALSE,,,"movhlps",2,"xmm0","xmm3",,,,,,,
0,15,18,,"0F",12,"C4",,0,,,FALSE,,,"movhlps",2,"xmm0","xmm4",,,,,,,
0,15,18,,"0F",12,"C5",,0,,,FALSE,,,"movhlps",2,"xmm0","xmm5",,,,,,,
0,15,18,,"0F",12,"C6",,0,,,FALSE,,,"movhlps",2,"xmm0","xmm6",,,,,,,
0,15,18,,"0F",12,"C7",,0,,,FALSE,,,"movhlps",2,"xmm0","xmm7",,,,,,,
0,15,18,,"0F",12,"C8",,0,,,FALSE,,,"movhlps",2,"xmm1","xmm0",,,,,,,
0,15,18,,"0F",12,"C9",,0,,,FALSE,,,"movhlps",2,"xmm1","xmm1",,,,,,,
0,15,18,,"0F",12,"CA",,0,,,FALSE,,,"movhlps",2,"xmm1","xmm2",,,,,,,
0,15,18,,"0F",12,"CB",,0,,,FALSE,,,"movhlps",2,"xmm1","xmm3",,,,,,,
0,15,18,,"0F",12,"CC",,0,,,FALSE,,,"movhlps",2,"xmm1","xmm4",,,,,,,
0,15,18,,"0F",12,"CD",,0,,,FALSE,,,"movhlps",2,"xmm1","xmm5",,,,,,,
0,15,18,,"0F",12,"CE",,0,,,FALSE,,,"movhlps",2,"xmm1","xmm6",,,,,,,
0,15,18,,"0F",12,"CF",,0,,,FALSE,,,"movhlps",2,"xmm1","xmm7",,,,,,,
0,15,18,,"0F",12,"D0",,0,,,FALSE,,,"movhlps",2,"xmm2","xmm0",,,,,,,
0,15,18,,"0F",12,"D1",,0,,,FALSE,,,"movhlps",2,"xmm2","xmm1",,,,,,,
0,15,18,,"0F",12,"D2",,0,,,FALSE,,,"movhlps",2,"xmm2","xmm2",,,,,,,
0,15,18,,"0F",12,"D3",,0,,,FALSE,,,"movhlps",2,"xmm2","xmm3",,,,,,,
0,15,18,,"0F",12,"D4",,0,,,FALSE,,,"movhlps",2,"xmm2","xmm4",,,,,,,
0,15,18,,"0F",12,"D5",,0,,,FALSE,,,"movhlps",2,"xmm2","xmm5",,,,,,,
0,15,18,,"0F",12,"D6",,0,,,FALSE,,,"movhlps",2,"xmm2","xmm6",,,,,,,
0,15,18,,"0F",12,"D7",,0,,,FALSE,,,"movhlps",2,"xmm2","xmm7",,,,,,,
0,15,18,,"0F",12,"D8",,0,,,FALSE,,,"movhlps",2,"xmm3","xmm0",,,,,,,
0,15,18,,"0F",12,"D9",,0,,,FALSE,,,"movhlps",2,"xmm3","xmm1",,,,,,,
0,15,18,,"0F",12,"DA",,0,,,FALSE,,,"movhlps",2,"xmm3","xmm2",,,,,,,
0,15,18,,"0F",12,"DB",,0,,,FALSE,,,"movhlps",2,"xmm3","xmm3",,,,,,,
0,15,18,,"0F",12,"DC",,0,,,FALSE,,,"movhlps",2,"xmm3","xmm4",,,,,,,
0,15,18,,"0F",12,"DD",,0,,,FALSE,,,"movhlps",2,"xmm3","xmm5",,,,,,,
0,15,18,,"0F",12,"DE",,0,,,FALSE,,,"movhlps",2,"xmm3","xmm6",,,,,,,
0,15,18,,"0F",12,"DF",,0,,,FALSE,,,"movhlps",2,"xmm3","xmm7",,,,,,,
0,15,18,,"0F",12,"E0",,0,,,FALSE,,,"movhlps",2,"xmm4","xmm0",,,,,,,
0,15,18,,"0F",12,"E1",,0,,,FALSE,,,"movhlps",2,"xmm4","xmm1",,,,,,,
0,15,18,,"0F",12,"E2",,0,,,FALSE,,,"movhlps",2,"xmm4","xmm2",,,,,,,
0,15,18,,"0F",12,"E3",,0,,,FALSE,,,"movhlps",2,"xmm4","xmm3",,,,,,,
0,15,18,,"0F",12,"E4",,0,,,FALSE,,,"movhlps",2,"xmm4","xmm4",,,,,,,
0,15,18,,"0F",12,"E5",,0,,,FALSE,,,"movhlps",2,"xmm4","xmm5",,,,,,,
0,15,18,,"0F",12,"E6",,0,,,FALSE,,,"movhlps",2,"xmm4","xmm6",,,,,,,
0,15,18,,"0F",12,"E7",,0,,,FALSE,,,"movhlps",2,"xmm4","xmm7",,,,,,,
0,15,18,,"0F",12,"E8",,0,,,FALSE,,,"movhlps",2,"xmm5","xmm0",,,,,,,
0,15,18,,"0F",12,"E9",,0,,,FALSE,,,"movhlps",2,"xmm5","xmm1",,,,,,,
0,15,18,,"0F",12,"EA",,0,,,FALSE,,,"movhlps",2,"xmm5","xmm2",,,,,,,
0,15,18,,"0F",12,"EB",,0,,,FALSE,,,"movhlps",2,"xmm5","xmm3",,,,,,,
0,15,18,,"0F",12,"EC",,0,,,FALSE,,,"movhlps",2,"xmm5","xmm4",,,,,,,
0,15,18,,"0F",12,"ED",,0,,,FALSE,,,"movhlps",2,"xmm5","xmm5",,,,,,,
0,15,18,,"0F",12,"EE",,0,,,FALSE,,,"movhlps",2,"xmm5","xmm6",,,,,,,
0,15,18,,"0F",12,"EF",,0,,,FALSE,,,"movhlps",2,"xmm5","xmm7",,,,,,,
0,15,18,,"0F",12,"F0",,0,,,FALSE,,,"movhlps",2,"xmm6","xmm0",,,,,,,
0,15,18,,"0F",12,"F1",,0,,,FALSE,,,"movhlps",2,"xmm6","xmm1",,,,,,,
0,15,18,,"0F",12,"F2",,0,,,FALSE,,,"movhlps",2,"xmm6","xmm2",,,,,,,
0,15,18,,"0F",12,"F3",,0,,,FALSE,,,"movhlps",2,"xmm6","xmm3",,,,,,,
0,15,18,,"0F",12,"F4",,0,,,FALSE,,,"movhlps",2,"xmm6","xmm4",,,,,,,
0,15,18,,"0F",12,"F5",,0,,,FALSE,,,"movhlps",2,"xmm6","xmm5",,,,,,,
0,15,18,,"0F",12,"F6",,0,,,FALSE,,,"movhlps",2,"xmm6","xmm6",,,,,,,
0,15,18,,"0F",12,"F7",,0,,,FALSE,,,"movhlps",2,"xmm6","xmm7",,,,,,,
0,15,18,,"0F",12,"F8",,0,,,FALSE,,,"movhlps",2,"xmm7","xmm0",,,,,,,
0,15,18,,"0F",12,"F9",,0,,,FALSE,,,"movhlps",2,"xmm7","xmm1",,,,,,,
0,15,18,,"0F",12,"FA",,0,,,FALSE,,,"movhlps",2,"xmm7","xmm2",,,,,,,
0,15,18,,"0F",12,"FB",,0,,,FALSE,,,"movhlps",2,"xmm7","xmm3",,,,,,,
0,15,18,,"0F",12,"FC",,0,,,FALSE,,,"movhlps",2,"xmm7","xmm4",,,,,,,
0,15,18,,"0F",12,"FD",,0,,,FALSE,,,"movhlps",2,"xmm7","xmm5",,,,,,,
0,15,18,,"0F",12,"FE",,0,,,FALSE,,,"movhlps",2,"xmm7","xmm6",,,,,,,
0,15,18,,"0F",12,"FF",,0,,,FALSE,,,"movhlps",2,"xmm7","xmm7",,,,,,,
102,15,18,66,"0F",12,,"/r",0,,,FALSE,,,"movlpd",2,"xmm","m 64",,,,,,,
242,15,18,"F2","0F",12,,"/r",0,,,FALSE,,,"movddup",2,"xmm","xmm/m64",,,,,,,
243,15,18,"F3","0F",12,,"/r",0,,,FALSE,,,"movsldup",2,"xmm","xmm/m128",,,,,,,
0,15,19,,"0F",13,,"/r",0,,,FALSE,,,"movlps",2,"m 64","xmm",,,,,,,
102,15,19,66,"0F",13,,"/r",0,,,FALSE,,,"movlpd",2,"m 64","xmm",,,,,,,
0,15,20,,"0F",14,,"/r",0,,,FALSE,,,"unpcklps",2,"xmm","xmm/m128",,,,,,,
102,15,20,66,"0F",14,,"/r",0,,,FALSE,,,"unpcklpd",2,"xmm","xmm/m128",,,,,,,
0,15,21,,"0F",15,,"/r",0,,,FALSE,,,"unpckhps",2,"xmm","xmm/m128",,,,,,,
102,15,21,66,"0F",15,,"/r",0,,,FALSE,,,"unpckhpd",2,"xmm","xmm/m128",,,,,,,
0,15,22,,"0F",16,,"/r",0,,,FALSE,,,"movhps",2,"xmm","m64",,,,,,,
0,15,22,,"0F",16,"C0",,0,,,FALSE,,,"movlhps",2,"xmm0","xmm0",,,,,,,
0,15,22,,"0F",16,"C1",,0,,,FALSE,,,"movlhps",2,"xmm0","xmm1",,,,,,,
0,15,22,,"0F",16,"C2",,0,,,FALSE,,,"movlhps",2,"xmm0","xmm2",,,,,,,
0,15,22,,"0F",16,"C3",,0,,,FALSE,,,"movlhps",2,"xmm0","xmm3",,,,,,,
0,15,22,,"0F",16,"C4",,0,,,FALSE,,,"movlhps",2,"xmm0","xmm4",,,,,,,
0,15,22,,"0F",16,"C5",,0,,,FALSE,,,"movlhps",2,"xmm0","xmm5",,,,,,,
